"AssetTag","Name","Model","WarrantyExpires","Status","DaysRemaining","PurchaseDate","PurchaseCost"
"1823","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"43","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"1847","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"238","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"480","","Chromebook 14 G6","N/A","No Warranty Data",,"N/A","400.00"
"1376","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"1SW1ZQ","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"31","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"610","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"2800","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"590","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"797","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"1231","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"2485","","Dell Chromebook 3110","N/A","No Warranty Data",,"N/A","400.00"
"CB-925-7VTB6Y2","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"3175","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"CB-979-62H06Y2","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"1716","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"1959","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"390","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"1480","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"930","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"1187","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"2565","","Dell Chromebook 3110","N/A","No Warranty Data",,"N/A","400.00"
